地區,縣市,景點,地址,電話,親子共遊,溫泉好湯,寺廟祈福,登山步道,無障礙,室內
中部,苗栗縣,泰安溫泉,苗栗縣泰安鄉錦水村18號,037-941-025,,V,,,,
中部,臺中縣,國立自然科學博物館,臺中市北區館前路1號,04-2322-6940,V,,,,,V
中部,彰化縣,鹿港天后宮,彰化縣鹿港鎮中山路430號,04-777-9899,,,V,,,
中部,南投縣,日月潭國家風景區,555南投縣魚池鄉中山路599號,049-285-5668,,,,,V,
中部,南投縣,東埔溫泉,南投縣信義鄉開高巷,049-222-2106,,V,,,,
中部,南投縣,清境農場,南投縣仁愛鄉仁和路170號,04-9280-2172,V,,,V,,
中部,南投縣,合歡山國家森林遊樂區,花蓮縣秀林鄉,04-9280-3985,,,,V,,
中部,南投縣,日月潭玄光寺,南投縣魚池鄉中正路388號,04-9285-0325,,,V,,V,V
中部,南投縣,車埕木業展示館,南投縣水里鄉民權巷110-2號,04-9287-1791,V,,,,V,V
中部,雲林縣,北港朝天宮,雲林縣北港鎮中山路178號,05-783-2055,,,,,,
中部,苗栗縣,雪霸國家公園,雲林縣古坑鄉華山村41號,05-590-1398,,,,V,,
中部,苗栗縣,通霄神社,雲林縣古坑鄉大湖口67號,05-582-5789,,,V,,,
中部,苗栗縣,香格里拉樂園,苗栗縣造橋鄉乳姑山15-3號,037-561-369,,,,V,,
中部,苗栗縣,飛牛牧場,苗栗縣通霄鎮南和里166號,037-782-999,V,,,,,
中部,雲林縣,華山休閒農業區,雲林縣古坑鄉華山村41號,05-590-1398,,,,V,,
中部,雲林縣,劍湖山世界主題樂園,雲林縣古坑鄉大湖口67號,05-582-5789,V,,,,,
中部,彰化縣,鹿港龍山寺,彰化縣鹿港鎮金門巷81號,04-777-2472,,,V,,,
中部,彰化縣,田中森林公園,彰化縣田中鎮中南路二段,049-258-0525,,,,V,,
中部,彰化縣,台灣手套博物館,彰化縣社頭鄉織襪一路8號,04-8736168,V,,,,V,V
中部,臺中縣,谷關溫泉,臺中市和平區東關路一段溫泉巷,04-2595-1496,,V,,,,
中部,臺中縣,福壽山農場,臺中市和平區福壽路29號,04-2598-9202,,,,V,,
